title	summary	website
Cell rearrangement during angiogenesis requires suppression of actomyosin at cell-cell contacts via PI3-kinase.	b'Sprouting angiogenesis is a highly dynamic process which relies on the continuous interchange of endothelial cell relative position within the vascular sprout, a process mediated by cell rearrangements. Here we take advantage of a previous identified role of p110a/PI3K regulating endothelial cell motility to address how cell rearrangement and interaction regulate vessel growth. By using advanced fluorescent zebrafish models and a tamoxifen-inducible endothelial-specific gene targeting in the postnatal mouse retina, we demonstrate that inactivation of the p110a isoform of PI3K in endothelial cells is a good model to study cell shuffling in the growing vasculature.  We identify that a failure of endothelial cells to rearrange results in cell elongation and inability to stabilize new contacts upon anastomosis. Instead of rearrange, blockade of p110\xef\x81\xa1 signaling drive these cells to grow in a three dimension fashion by sending multiple protrusions which lack lumen and fail to stabilize upon anastomosis. Through a combination of in vivo and in vitro approaches together with a global phosphoproteomic screen, we discover that p110a signaling stimulates cell rearrangements by suppressing actomyosin contractility in a myosin light chain phosphatase (MLCP) dependent manner.  Together, our findings highlight the importance of cell rearrangement orchestrating several steps within the angiogenic program and uncover a critical role of the p110a/MLCP axis to suppress actomyosin contractility.'	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD007060
CPTAC System Suitability (CompRef) Study: Phosphoproteome, PNNL	The objective of the "System Suitability (CompRef) Study" was to validate mass spectrometry protocols used at each Proteome Characterization Center (PCC).  Please include this attribution in publications, "Data used in this publication was created by the Clinical Proteomics Tumor Analysis Consortium (NCI/NIH)."	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD001000
Quantitative Profiling of Protein S-Glutathionylation during Nanoparticle-Induced Oxidative Stress	Quantitative profiling of protein s-glutathionylation (SSG) reveals redox-dependent regulation of macrophage function during nanoparticle-induced oxidative stress	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD003356
Quantitative analysis of murine T-cells	1D-LC-MS/MS analysis of OGE-prefractionated and TMT labeled mouse samples consiting of 2 unstimulated and 2 stimulated T-cell samples. The acquired raw-files were converted to the mascot generic file (mgf) format using the msconvert tool (part of ProteoWizard, version 3.0.4624 (2013-6-3)). Using the MASCOT algorithm (Matrix Science, Version 2.4.0), the mgf files were searched against a decoy database containing normal and reverse sequences of the predicted SwissProt entries of mus musculus (www.ebi.ac.uk, release date 16/05/2012) and commonly observed contaminants (in total 33,832 sequences) generated using the SequenceReverser tool from the MaxQuant software (Version 1.0.13.13). The precursor ion tolerance was set to 10 ppm and fragment ion tolerance was set to 0.01 Da. The search criteria were set as follows: full tryptic specificity was required (cleavage after lysine or arginine residues unless followed by proline), 2 missed cleavages were allowed, carbamidomethylation (C), TMT6plex (K and peptide n-terminus) were set as fixed modification and oxidation (M) as a variable modification. Next, the database search results were imported to the Scaffold Q+ software (version 4.1.1, Proteome Software Inc., Portland, OR) and the protein false identification rate was set to 1% based on the number of decoy hits. Specifically, peptide identifications were accepted if they could be established at greater than 94.0% probability to achieve an FDR less than 1.0% by the scaffold local FDR algorithm. Protein identifications were accepted if they could be established at greater than 6.0% probability to achieve an FDR less than 1.0% and contained at least 1 identified peptide. Protein probabilities were assigned by the Protein Prophet program (Nesvizhskii, et al, Anal. Chem. 2003; 75(17):4646-58). Proteins that contained similar peptides and could not be differentiated based on MS/MS analysis alone were grouped to satisfy the principles of parsimony. Proteins sharing significant peptide evidence were grouped into clusters. For quantification, acquired reporter ion intensities in the experiment were globally normalized across all acquisition runs. Individual quantitative samples were normalized within each acquisition run. Intensities for each peptide identification were normalized within the assigned protein. The reference channels were normalized to produce a 1:1 fold change. All normalization calculations were performed using medians to multiplicatively normalize data. A list of identified and quantified proteins is available in the xls file.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD000543
Quantitative Proteome Responses to Oncolytic Reovirus in GM-CSF and M-CSF-Differentiated Bone Marrow-Derived Cells	To explore reovirus-macrophage interactions, we performed tandem mass tag (TMT)-based quantitative temporal proteomics on mouse bone marrow-derived macrophages (BMMs) generated with 2 cytokines, M-CSF and GM-CSF, representing anti- and pro-inflammatory macrophages, respectively. We quantified 6,863 proteins across five time points in duplicate, comparing M-CSF (M-BMM) and GM-CSF (GM-BMM) in response to OV. We find that GM-BMMs have lower expression of key intrinsic proteins that facilitate an anti-viral immune response, express higher levels of reovirus receptor protein JAM-A and are more susceptible to oncolytic reovirus infection compared to M-BMMs. Interestingly, although M-BMMs are less susceptible to reovirus infection and subsequent cell death, they initiate an anti-reovirus adaptive T cell immune response comparable to that of GM-BMMs. Taken together, these data describe distinct proteome differences between these two macrophage populations in terms of their ability to mount anti-viral immune responses.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD015203
Classically-activated macrophages rely on glucose-derived glycerol and external fatty acid for TAG synthesis	Altered lipid metabolism in macrophages is associated with various important inflammatory conditions. Although lipid metabolism is an important target for therapeutic intervention, the metabolic requirement involved in lipid accumulation during pro-inflammatory activation of macrophages remains incompletely characterized. We show here that macrophage activation with IFN¦Ã results in increased aerobic glycolysis, iNOS-dependent inhibition of respiration, and accumulation of triacylglycerol. Surprisingly, metabolite tracing with 13C-labeled glucose revealed that the glucose contributed to the glycerol groups in triacylglycerol (TAG), rather than to de novo synthesis of fatty acids. This is in stark contrast to the otherwise similar metabolism of cancer cells, and previous results obtained in activated macrophages and dendritic cells.  Our results establish a novel metabolic pathway whereby glucose provides glycerol to the headgroup of TAG during classical macrophage activation.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD017148
Cancer Associated Fibroblast-FAK regulates malignant cell metabolism	Breast and pancreatic cancers are characterised by profound metabolic changes1,2. Until recently, these changes have been ascribed to their intrinsic genetic profiles2-4. However, the contribution of cancer-associated fibroblasts (CAFs) to cell metabolism has not been fully investigated5. Here, we provide clinical evidence that reduction in stromal Focal Adhesion Kinase (FAK) correlates with reduced overall survival in human breast and pancreatic cancer patients. To model this, we developed FSP-Cre+;FAKfl/fl mice where FAK was deleted in a subpopulation of CAFs. We establish that loss of CAF-FAK is sufficient to enhance tumour growth without affecting desmoplasia in orthotopically injected breast and pancreatic carcinomas. Additionally, deletion of CAF-FAK enhances disease progression in the MMTV-PyMT spontaneous model of breast cancer. Furthermore, despite this pro-tumourigenic effect, a significant reduction in tumour angiogenesis was observed in late-stage tumours, but not early-stage, size-matched tumours in FSP-Cre+;FAKfl/fl mice. This indicates that loss of CAF-FAK is sufficient to reduce malignant cell dependency on blood vessel support suggesting acquired metabolic alterations in cancer cells. Indeed, 18F-FDG-PET imaging and glucose flux analysis revealed enhanced glucose catabolism in early-stage, size-matched tumours in FSP-Cre+;FAKfl/fl mice in vivo. Mechanistically, we demonstrate that conditioned medium from FAK-null CAFs enhances glycolysis and glycolytic capacity in malignant cells. Proteomics and phosphoproteomics analysis reveal enriched cytokine-mediated signalling pathways in FAK-null CAFs and subsequent enrichment of associated phosphopeptides in malignant cells, respectively. Overall, our data uncover a novel mechanism by which cytokines, regulated by CAF-FAK, can promote cancer growth and progression, and identify a new set of CAF-derived targets to interfere with cancer metabolism.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD008276
Insulin Induces Microtubule Stabilization and Regulates the Microtubule Plus-End Tracking Protein Network in Adipocytes	b'Insulin-stimulated glucose uptake is known to involve microtubules, although the function of microtubules and the microtubule-regulating proteins involved in insulin action are poorly understood. CLASP2, a plus-end tracking microtubule-associated protein (+TIP) that controls microtubule dynamics, was recently implicated as the first +TIP associated with insulin-regulated glucose uptake. Here, using protein-specific targeted quantitative phosphoproteomics within 3T3-L1 adipocytes, we discovered that insulin regulates phosphorylation of the CLASP2 network members G2L1, MARK2, CLIP2, AGAP3 and CKAP5 as well as EB1, revealing the existence of a previously unknown microtubule-associated protein system that responds to insulin. To further investigate, G2L1 interactome studies within 3T3-L1 adipocytes revealed that G2L1 co-immunoprecipitates CLASP2 and CLIP2 as well as the master integrators of +TIP assembly, the end binding (EB) proteins. Live-cell total internal reflection fluorescence microscopy in adipocytes revealed G2L1 and CLASP2 colocalize on microtubule plus-ends. We found that while insulin increases the number of CLASP2-containing plus-ends, insulin treatment simultaneously decreases CLASP2-containing plus-end velocity. In addition, we discovered that insulin stimulates re-distribution of CLASP2 and G2L1 from exclusive plus-end tracking to \xe2\x80\x9ctrailing\xe2\x80\x9d behind the growing tip of the microtubule. Insulin treatment increases \xef\x81\xa1-tubulin Lysine 40 acetylation, a mechanism that was observed to be regulated by a counterbalance between GSK3 and mTOR, and also led to microtubule stabilization. Our studies introduce insulin-stimulated microtubule stabilization and plus-end trailing of +TIPs as new modes of insulin action and reveal the likelihood that a network of microtubule-associated proteins synergize to coordinate insulin-regulated microtubule dynamics.'	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD011431
Systematic discovery of endogenous ribonucleoprotein complexes - RNA DIF-FRAC mouse embryonic stem cell	The associated files are mass spec data from size exclusion chromatographic separations of mouse embryonic stem cells with and without RNAse A treatment.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD014607
Glutathione S-transferase induction after exposure to benzo[a]pyrene	Benzo[a]pyrene induction of glutathione S-transferases, an activity-based protein profiling investigation	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD010610
