title	summary	website
Mouse granule cell layer neurons proteomics response to West Nile Virus (WNV)	Proteomics data from mouse granule cell layer neurons; Treated with wild-type and mutant WNV, and mockulum	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000079415
Mouse dendritic cells proteomics response to West Nile Virus (WNV)	Proteomics data from mouse dendritic cells; Treated with wild-type and mutant WNV, and mockulum	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000079470
CPTAC System Suitability (CompRef) Study: Phosphoproteome, PNNL	The objective of the "System Suitability (CompRef) Study" was to validate mass spectrometry protocols used at each Proteome Characterization Center (PCC).  Please include this attribution in publications, "Data used in this publication was created by the Clinical Proteomics Tumor Analysis Consortium (NCI/NIH)."	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000080134
CPTAC System Suitability (CompRef) Study: Proteome, PNNL	The objective of the "System Suitability (CompRef) Study" was to validate mass spectrometry protocols used at each Proteome Characterization Center (PCC).  Please include this attribution in publications, "Data used in this publication was created by the Clinical Proteomics Tumor Analysis Consortium (NCI/NIH)."	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000080135
Chlamydia trachomatis ChxR is a transcriptional regulator of virulence factors that function in in vivo host pathogen interactions	To identify potential chlamydia genes that were regulated by the transcriptional enhancer chxR, we did a full proteome analysis of HeLa cells infected with the three independent chxR mutants.  This lead to the discovery of  a common set of five proteins (CT005, CT214, CT565, CT694, CT695) that were significantly down regulated in all three mutants, suggesting that their expression was regulated by chxR.  Importantly, each of the five were free of any mutations and thus were not direct targets of the EMS treatment.   	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000080635
Time-resolved Proteome and Metabolome Profiling of Normal Lung Development	Proteomics data from mouse lung; performing unbiased protein and metabolite profiling for normal lung development	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000081190
Examination of matricellular fibrosis and wound healing in a model of pancreatic cancer progression	Pancreatic ductal adenocarcinoma (PDAC) has the highest amount of stroma when compared to other solid tumors. It is now well known that the stroma plays an important role in supporting pancreatic cancer development and progression and this knowledge has led to the development of potential anti-stromal therapies, some of which have shown synergistic effect in combination with gemcitabine. Despite the acknowledgement of its importance, a granular view of how stromal composition and cross-linking change during the course of PDAC progression remains unfounded. Generally, the fibrosis that occurs in solid tumors appears to be driven primarily by increases in the abundance of fibrillar collagen, whose insolubility is determined by the formation of covalent intermolecular cross-links. Here we have used semi-quantitative proteomics and cross-linked amino acid analysis to characterize the composition and crosslinking status of normal pancreatic and PDAC stroma. In order to mimic the desmoplastic stroma observed in human disease, we utilized the genetically engineered KTC mouse model of PDAC (KrasLSL-G12D/+Tgfbr2flox/+Ptf1a-Cre). We found that highly fibrotic PDACs alter the solubility of their collagen-rich stroma through changes in the abundance of collagen cross-links and supports development of matricellular fibrosis associated with a wound healing response.	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000081553
Time-Dependent Proteome Study: Human-in-mouse xenograft breast cancer tumor samples (0, 5, 30, 60 min)	The objective of the Time-Dependent Proteome Study was to evaluate changes in the proteome and phosphoproteome when there is a delay in freezing tissues following sample (tumor) excision. The biospecimens used are from human-in-mouse breast cancer tumor samples.<br/><a href="http://www.ncbi.nlm.nih.gov/pubmed/24719451" target="_blank">Ref: Mertins P et al., (2014) Mol Cell Proteomics, Apr 9. E-Publication</a><ul><li>Dataset imported into MassIVE from <a href="https://cptac-data-portal.georgetown.edu/cptac/s/S011">https://cptac-data-portal.georgetown.edu/cptac/s/S011</a> and <a href="https://cptac-data-portal.georgetown.edu/cptac/s/S012">https://cptac-data-portal.georgetown.edu/cptac/s/S012</a> on 08/29/19</li></ul>	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000084260
System Suitability (CompRef) Study: Human-in-mouse xenograft breast cancer tumor samples	The objective of the "System Suitability (CompRef) Study" was to validate mass spectrometry protocols used at each Proteome Characterization Center (PCC).
    <ul><li>Dataset imported into MassIVE from <a href="https://cptac-data-portal.georgetown.edu/cptac/s/S010">https://cptac-data-portal.georgetown.edu/cptac/s/S010</a> on 10/22/19</li></ul>	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000084497
Noise exposures causing hearing loss generate proteotoxic stress and activate the proteostasis network	Nopporn Jongkamonwiwat, Miguel Ramirez, Ann C.Y. Wong, Yi-Zhi Wang, Jintao Yu, Tirzah Abbott, Allen F. Ryan, Jeffrey N. Savas	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000084739
Cell type-resolved quantitative proteomics of mouse liver	Proteomics of pure cell populations provides a powerful approach to globally investigate biological function of individual cell types in mammalian organs. Here, we applied latest mass spectrometry techniques for in-depth proteomic analysis of freshly isolated hepatic cell types (HC-types) from murine liver. This study provides a valuable comprehensive resource for liver biology and biomedicine.	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000084937
Deep proteomic evaluation of primary and cell line motoneuron disease models delineates major differences in neuronal characteristics	The fatal neurodegenerative disorders amyotrophic lateral sclerosis (ALS) and spinal muscular atrophy (SMA) are the most common motoneuron disease and genetic cause of infant death, respectively. Various in vitro model systems have been established to investigate motoneuron disease mechanisms - in particular immortalized cell lines and primary neurons. By quantitative mass spectrometry (MS)-based proteomics we here compare the proteomes of primary motoneurons to motoneuron-like cell lines NSC-34 and N2a as well as to non-neuronal control cells at a depth of 10,000 proteins. We use this resource to evaluate the suitability of murine in vitro model systems for cell biological and biochemical analysis of motoneuron disease mechanisms. Individual protein and pathway analysis indicate substantial differences between motoneuron-like cell lines and primary motoneurons, especially for proteins involved in differentiation, cytoskeleton and receptor signaling, whereas common metabolic pathways were more similar. The ALS-associated proteins themselves also showed distinct differences between cell lines and primary motoneurons, providing a molecular basis for understanding fundamental alterations between cell lines and neurons with respect to neuronal pathways with relevance for disease mechanisms. Our study provides a proteomics resource for motoneuron research and presents a paradigm of how MS-based proteomics can be used to evaluate disease model systems	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000084939
Deep muscle proteome	Deep skeletal muscle proteome. Triceps muscle from C57BL6 mouse and C2C12 myotubes were measure by LC-MS.	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000084940
